Leto,Dirka,Zmagovalec,Mostvo_zmagovalca,Drugi,Mostvo_drugega,Tretji,Mostvo_tretjega
1949,Tourist Trophy,Harold Daniell,Norton,Johnny Lockett,Norton,Ernie Lyons,Velocette
1949,Switzerland,Leslie Graham,AJS,Arciso Artesiani,Gilera,Harold Daniell,Norton
1949,Netherlands,Nello Pagani,Gilera,Leslie Graham,AJS,Arciso Artesiani,Gilera
1949,Belgium,William Doran,AJS,Arciso Artesiani,Gilera,Enrico Lorenzetti,Moto Guzzi
1949,Ulster,Leslie Graham,AJS,Artie Bell,Norton,Nello Pagani,Gilera
1949,Nations,Nello Pagani,Gilera,Arciso Artesiani,Gilera,William Doran,AJS
1950,Tourist Trophy,Geoff Duke,Norton,Artie Bell,Norton,Johnny Lockett,Norton
1950,Belgium,Umberto Masetti,Gilera,Nello Pagani,Gilera,Edward Frend,AJS
1950,Netherlands,Umberto Masetti,Gilera,Nello Pagani,Gilera,Harry Hinton Sr.,Norton
1950,Switzerland,Leslie Graham,AJS,Umberto Masetti,Gilera,Carlo Bandirola,Gilera
1950,Ulster,Geoff Duke,Norton,Leslie Graham,AJS,Johnny Lockett,Norton
1950,Nations,Geoff Duke,Norton,Umberto Masetti,Gilera,Arciso Artesiani,MV Agusta
1951,Spain,Umberto Masetti,Gilera,Thomas Wood,Norton,Arciso Artesiani,MV Agusta
1951,Switzerland,Fergus Anderson,Moto Guzzi,Reg Armstrong,AJS,Enrico Lorenzetti,Moto Guzzi
1951,Tourist Trophy,Geoff Duke,Norton,William Doran,AJS,Cromie McCandless,Norton
1951,Belgium,Geoff Duke,Norton,Alfredo Milani,Gilera,Sante Geminiani,Moto Guzzi
1951,Netherlands,Geoff Duke,Norton,Alfredo Milani,Gilera,Enrico Lorenzetti,Moto Guzzi
1951,France,Alfredo Milani,Gilera,William Doran,AJS,Nello Pagani,Gilera
1951,Ulster,Geoff Duke,Norton,Ken Kavanagh,Norton,Umberto Masetti,Gilera
1951,Nations,Alfredo Milani,Gilera,Umberto Masetti,Gilera,Nello Pagani,Gilera
1952,Switzerland,Jack Brett,AJS,William Doran,AJS,Carlo Bandirola,MV Agusta
1952,Tourist Trophy,Reg Armstrong,Norton,Leslie Graham,MV Agusta,Ray Amm,Norton
1952,Netherlands,Umberto Masetti,Gilera,Geoff Duke,Norton,Ken Kavanagh,Norton
1952,Belgium,Umberto Masetti,Gilera,Geoff Duke,Norton,Ray Amm,Norton
1952,Germany,Reg Armstrong,Norton,Ken Kavanagh,Norton,Sidney Lawton,Norton
1952,Ulster,Cromie McCandless,Gilera,Rod Coleman,AJS,Bill Lomas,MV Agusta
1952,Nations,Leslie Graham,MV Agusta,Umberto Masetti,Gilera,Nello Pagani,Gilera
1952,Spain,Leslie Graham,MV Agusta,Umberto Masetti,Gilera,Ken Kavanagh,Norton
1953,Tourist Trophy,Ray Amm,Norton,Jack Brett,Norton,Reg Armstrong,Gilera
1953,Netherlands,Geoff Duke,Gilera,Reg Armstrong,Gilera,Ken Kavanagh,Norton
1953,Belgium,Alfredo Milani,Gilera,Ray Amm,Norton,Reg Armstrong,Gilera
1953,France,Geoff Duke,Gilera,Reg Armstrong,Gilera,Alfredo Milani,Gilera
1953,Ulster,Ken Kavanagh,Norton,Geoff Duke,Gilera,Jack Brett,Norton
1953,Switzerland,Geoff Duke,Gilera,Alfredo Milani,Gilera,Reg Armstrong,Gilera
1953,Nations,Geoff Duke,Gilera,Dickie Dale,Gilera,Libero Liberati,Gilera
1953,Spain,Fergus Anderson,Moto Guzzi,Carlo Bandirola,MV Agusta,Dickie Dale,Gilera
1954,France,Pierre Monneret,Gilera,Alfredo Milani,Gilera,Jacques Collot,Norton
1954,Tourist Trophy,Ray Amm,Norton,Geoff Duke,Gilera,Jack Brett,Norton
1954,Belgium,Geoff Duke,Gilera,Ken Kavanagh,Moto Guzzi,Leon Martin,Gilera
1954,Netherlands,Geoff Duke,Gilera,Fergus Anderson,Moto Guzzi,Carlo Bandirola,MV Agusta
1954,Germany,Geoff Duke,Gilera,Ray Amm,Norton,Reg Armstrong,Gilera
1954,Switzerland,Geoff Duke,Gilera,Ray Amm,Norton,Reg Armstrong,Gilera
1954,Nations,Geoff Duke,Gilera,Umberto Masetti,Gilera,Carlo Bandirola,MV Agusta
1954,Spain,Dickie Dale,MV Agusta,Ken Kavanagh,Moto Guzzi,Nello Pagani,MV Agusta
1955,Spain,Reg Armstrong,Gilera,Carlo Bandirola,MV Agusta,Umberto Masetti,MV Agusta
1955,France,Geoff Duke,Gilera,Libero Liberati,Gilera,Reg Armstrong,Gilera
1955,Tourist Trophy,Geoff Duke,Gilera,Reg Armstrong,Gilera,Ken Kavanagh,Moto Guzzi
1955,Germany,Geoff Duke,Gilera,Walter Zeller,BMW,Carlo Bandirola,MV Agusta
1955,Belgium,Giuseppe Colnago,Gilera,Pierre Monneret,Gilera,Leon Martin,Gilera
1955,Netherlands,Geoff Duke,Gilera,Reg Armstrong,Gilera,Umberto Masetti,MV Agusta
1955,Ulster,Bill Lomas,Moto Guzzi,John Hartle,Norton,Dickie Dale,Moto Guzzi
1955,Nations,Umberto Masetti,MV Agusta,Reg Armstrong,Gilera,Geoff Duke,Gilera
1956,Tourist Trophy,John Surtees,MV Agusta,John Hartle,Norton,Jack Brett,Norton
1956,Netherlands,John Surtees,MV Agusta,Walter Zeller,BMW,Edwin-Martin Grant,Norton
1956,Belgium,John Surtees,MV Agusta,Walter Zeller,BMW,Pierre Monneret,Gilera
1956,Germany,Reg Armstrong,Gilera,Umberto Masetti,MV Agusta,Pierre Monneret,Gilera
1956,Ulster,John Hartle,Norton,Robert Brown,Matchless,Peter Murphy,Matchless
1956,Nations,Geoff Duke,Gilera,Libero Liberati,Gilera,Pierre Monneret,Gilera
1957,Germany,Libero Liberati,Gilera,Bob McIntyre,Gilera,Walter Zeller,BMW
1957,Tourist Trophy,Bob McIntyre,Gilera,John Surtees,MV Agusta,Robert Brown,Gilera
1957,Netherlands,John Surtees,MV Agusta,Libero Liberati,Gilera,Walter Zeller,BMW
1957,Belgium,Libero Liberati,Gilera,Jack Brett,Norton,Keith Bryen,Norton
1957,Ulster,Libero Liberati,Gilera,Bob McIntyre,Gilera,Geoff Duke,Gilera
1957,Nations,Libero Liberati,Gilera,Geoff Duke,Gilera,Alfredo Milani,Gilera
1958,Tourist Trophy,John Surtees,MV Agusta,Bob Anderson,Norton,Robert Brown,Norton
1958,Netherlands,John Surtees,MV Agusta,John Hartle,MV Agusta,Derek Minter,Norton
1958,Belgium,John Surtees,MV Agusta,Keith Campbell,Norton,John Hartle,MV Agusta
1958,Germany,John Surtees,MV Agusta,John Hartle,MV Agusta,Gary Hocking,Norton
1958,Sweden,Geoff Duke,Norton,Dickie Dale,BMW,Terry Shepherd,Norton
1958,Ulster,John Surtees,MV Agusta,Bob McIntyre,Norton,John Hartle,MV Agusta
1958,Nations,John Surtees,MV Agusta,Remo Venturi,MV Agusta,Umberto Masetti,MV Agusta
1959,France,John Surtees,MV Agusta,Remo Venturi,MV Agusta,Gary Hocking,Norton
1959,Tourist Trophy,John Surtees,MV Agusta,Alistair King,Norton,Robert Brown,Norton
1959,Germany,John Surtees,MV Agusta,Remo Venturi,MV Agusta,Robert Brown,Norton
1959,Netherlands,John Surtees,MV Agusta,Robert Brown,Norton,Remo Venturi,MV Agusta
1959,Belgium,John Surtees,MV Agusta,Gary Hocking,Norton,Geoff Duke,Norton
1959,Ulster,John Surtees,MV Agusta,Bob McIntyre,Norton,Geoff Duke,Norton
1959,Nations,John Surtees,MV Agusta,Remo Venturi,MV Agusta,Geoff Duke,Norton
1960,France,John Surtees,MV Agusta,Remo Venturi,MV Agusta,Robert Brown,Norton
1960,Tourist Trophy,John Surtees,MV Agusta,John Hartle,MV Agusta,Mike Hailwood,Norton
1960,Netherlands,Remo Venturi,MV Agusta,Robert Brown,Norton,Emilio Mendogni,MV Agusta
1960,Belgium,John Surtees,MV Agusta,Remo Venturi,MV Agusta,Robert Brown,Norton
1960,Germany,John Surtees,MV Agusta,Remo Venturi,MV Agusta,Emilio Mendogni,MV Agusta
1960,Ulster,John Hartle,Norton,John Surtees,MV Agusta,Alan Shepherd,Matchless
1960,Nations,John Surtees,MV Agusta,Emilio Mendogni,MV Agusta,Mike Hailwood,Norton
1961,Germany,Gary Hocking,MV Agusta,Frank Perris,Norton,Hans-Gunther Jager,BMW
1961,France,Gary Hocking,MV Agusta,Mike Hailwood,Norton,Antoine Paba,Norton
1961,Tourist Trophy,Mike Hailwood,Norton,Bob McIntyre,Norton,Tom Phillis,Norton
1961,Netherlands,Gary Hocking,MV Agusta,Mike Hailwood,Norton,Bob McIntyre,Norton
1961,Belgium,Gary Hocking,MV Agusta,Mike Hailwood,Norton,Bob McIntyre,Norton
1961,East Germany,Gary Hocking,MV Agusta,Mike Hailwood,Norton,Bert Schneider,Norton
1961,Ulster,Gary Hocking,MV Agusta,Mike Hailwood,Norton,Alistair King,Norton
1961,Nations,Mike Hailwood,MV Agusta,Alistair King,Norton,Paddy Driver,Norton
1961,Sweden,Gary Hocking,MV Agusta,Mike Hailwood,MV Agusta,Frank Perris,Norton
1961,Argentina,Jorge Kissling,Matchless,Juan Salatino,Norton,Frank Perris,Norton
1962,Tourist Trophy,Gary Hocking,MV Agusta,Ellis Boyce,Norton,Fred Stevens,Norton
1962,Netherlands,Mike Hailwood,MV Agusta,Derek Minter,Norton,Phil Read,Norton
1962,Belgium,Mike Hailwood,MV Agusta,Alan Shepherd,Matchless,Tony Godfrey,Norton
1962,Ulster,Mike Hailwood,MV Agusta,Alan Shepherd,Matchless,Phil Read,Norton
1962,East Germany,Mike Hailwood,MV Agusta,Alan Shepherd,Matchless,Bert Schneider,Norton
1962,Nations,Mike Hailwood,MV Agusta,Remo Venturi,MV Agusta,Silvio Grassetti,Bianchi
1962,Finland,Alan Shepherd,Matchless,Sven-Olov Gunnarsson,Norton,Frantisek Stastny,Jawa
1962,Argentina,Benedicto Caldarella,Matchless,Juan Salatino,Norton,Eduardo Salatino,Norton
1963,Tourist Trophy,Mike Hailwood,MV Agusta,John Hartle,Gilera,Phil Read,Gilera
1963,Netherlands,John Hartle,Gilera,Phil Read,Gilera,Alan Shepherd,Matchless
1963,Belgium,Mike Hailwood,MV Agusta,Phil Read,Gilera,Alan Shepherd,Matchless
